episode,env_step,return,length,success,epsilon,greedy_actions,exploratory_actions,condition_triggers,gradient_steps_so_far,latest_loss
114,22800,0.0,200,0,0.5462999,96,104,5,21801,1.3958111111378457e-08
115,23000,0.0,200,0,0.5423199000000001,96,104,35,22001,3.364005607409126e-08
116,23200,0.0,200,0,0.5383399,78,122,41,22201,6.403136243449126e-09
117,23400,0.0,200,0,0.5343599,85,115,38,22401,3.2479540834629006e-08
118,23600,0.0,200,0,0.5303799,100,100,38,22601,5.856527351966179e-08
119,23800,0.0,200,0,0.5263998999999999,106,94,34,22801,3.980823670701739e-09
120,24000,0.0,200,0,0.5224199,86,114,12,23001,4.864852698460709e-08
121,24200,0.0,200,0,0.5184399,106,94,36,23201,9.748085005867324e-09
122,24400,0.0,200,0,0.5144599,98,102,43,23401,8.320276911888413e-09
123,24600,0.0,200,0,0.5104799,98,102,13,23601,1.481214795262531e-08
124,24800,0.0,200,0,0.5064999,89,111,24,23801,2.284990685552657e-08
125,25000,0.0,200,0,0.5025199,96,104,13,24001,3.538678328141032e-08
126,25200,0.0,200,0,0.49853990000000004,100,100,14,24201,4.2397974020502716e-09
127,25400,0.0,200,0,0.49455990000000005,118,82,20,24401,5.021698257223761e-08
128,25600,0.0,200,0,0.49057989999999996,107,93,3,24601,3.695772354816995e-09
129,25800,0.0,200,0,0.4865999,99,101,21,24801,6.810368091691998e-08
130,26000,0.0,200,0,0.4826199,110,90,14,25001,5.485762066825828e-09
131,26200,0.0,200,0,0.4786399,106,94,22,25201,8.541049645316434e-09
132,26400,0.0,200,0,0.4746599,110,90,8,25401,2.460075876342671e-08
133,26600,0.0,200,0,0.47067990000000004,119,81,24,25601,2.632078555109274e-09
134,26800,0.0,200,0,0.46669989999999995,103,97,41,25801,1.3270851084712376e-08
135,27000,0.0,200,0,0.46271989999999996,115,85,42,26001,6.1224003644611e-09
136,27200,0.0,200,0,0.4587399,109,91,37,26201,1.2450319886170291e-08
137,27400,0.0,200,0,0.4547599,101,99,36,26401,2.0967862113252522e-08
138,27600,0.0,200,0,0.4507799,114,86,46,26601,3.1711815395851772e-09
139,27800,0.0,200,0,0.4467999,103,97,38,26801,1.3743482440986554e-07
140,28000,0.0,200,0,0.44281989999999993,124,76,43,27001,1.8216674391169363e-08
141,28200,0.0,200,0,0.43883989999999995,109,91,44,27201,5.177420803192945e-08
142,28400,0.0,200,0,0.43485989999999997,100,100,30,27401,4.686097287986968e-09
143,28600,0.0,200,0,0.4308799,110,90,42,27601,7.96315102746803e-09
144,28774,1.0,174,1,0.4274173,94,80,26,27775,3.0353042745900893e-08
145,28974,0.0,200,0,0.4234373,113,87,47,27975,2.879360863516922e-06
146,29174,0.0,200,0,0.41945730000000003,105,95,27,28175,2.103910446749069e-06
147,29374,0.0,200,0,0.41547730000000005,116,84,54,28375,5.57838404802169e-07
148,29574,0.0,200,0,0.41149730000000007,120,80,48,28575,1.3245870604805532e-06
149,29774,0.0,200,0,0.40751729999999997,125,75,44,28775,3.0610357271143585e-07
150,29974,0.0,200,0,0.4035373,124,76,43,28975,7.15484844704406e-08
151,30174,0.0,200,0,0.3995573,115,85,49,29175,5.162462457519723e-07
152,30374,0.0,200,0,0.3955773,109,91,36,29375,4.236330255480425e-07
153,30574,0.0,200,0,0.39159730000000004,125,75,33,29575,7.840413331905438e-07
154,30774,0.0,200,0,0.38761729999999994,113,87,30,29775,5.81165522817173e-07
155,30974,0.0,200,0,0.38363729999999996,119,81,19,29975,7.412776312776259e-07
156,31174,0.0,200,0,0.3796573,132,68,19,30175,2.9366381681938947e-07
157,31374,0.0,200,0,0.3756773,116,84,28,30375,9.108125595957972e-07
158,31574,0.0,200,0,0.3716973,120,80,30,30575,0.0012643336085602641
159,31774,0.0,200,0,0.3677173,129,71,35,30775,5.256731014924299e-07
160,31974,0.0,200,0,0.36373729999999993,130,70,36,30975,2.604411122320016e-07
161,32174,0.0,200,0,0.35975729999999995,133,67,48,31175,8.423539838986471e-07
162,32374,0.0,200,0,0.35577729999999996,122,78,53,31375,4.095857548236381e-06
163,32548,1.0,174,1,0.3523147000000001,115,59,26,31549,1.1957994502154179e-05
164,32748,0.0,200,0,0.3483347,128,72,35,31749,3.7755901303171413e-06
165,32948,0.0,200,0,0.3443547,129,71,35,31949,3.387902324902825e-06
166,33148,0.0,200,0,0.34037470000000003,121,79,39,32149,8.611323210061528e-06
167,33348,0.0,200,0,0.33639470000000005,132,68,40,32349,3.280690407336806e-06
168,33548,0.0,200,0,0.33241470000000006,127,73,43,32549,1.0575429769232869e-05
169,33748,0.0,200,0,0.32843469999999997,132,68,56,32749,2.3462621356884483e-06
170,33948,0.0,200,0,0.3244547,147,53,43,32949,2.015519203268923e-05
171,34127,1.0,179,1,0.3208926,124,55,33,33128,1.536841045890469e-05
172,34327,0.0,200,0,0.3169126,139,61,39,33328,4.367871588328853e-05
173,34527,0.0,200,0,0.3129326,125,75,39,33528,4.364938286016695e-05
174,34727,0.0,200,0,0.3089526,142,58,43,33728,4.207576785120182e-05
175,34927,0.0,200,0,0.3049725999999999,132,68,33,33928,0.00010669140465324745
176,35127,0.0,200,0,0.30099259999999994,145,55,41,34128,0.00013941910583525896
177,35309,1.0,182,1,0.29737080000000005,124,58,35,34310,0.000296218873700127
178,35475,1.0,166,1,0.2940674,110,56,17,34476,0.0004137713694944978
179,35675,0.0,200,0,0.2900874,137,63,28,34676,4.553078906610608e-05
180,35864,1.0,189,1,0.28632630000000003,137,52,26,34865,0.00011319899931550026
181,36029,1.0,165,1,0.28304280000000004,119,46,21,35030,4.686817919719033e-05
182,36229,0.0,200,0,0.27906280000000006,152,48,30,35230,0.0001022704818751663
183,36429,0.0,200,0,0.27508280000000007,138,62,42,35430,0.00014782961807213724
184,36629,0.0,200,0,0.2711028,143,57,47,35630,0.001917460234835744
185,36818,1.0,189,1,0.2673417,147,42,38,35819,0.002782145282253623
186,37018,0.0,200,0,0.26336170000000003,153,47,51,36019,0.00010680896957637742
187,37218,0.0,200,0,0.25938170000000005,141,59,57,36219,0.00017271809338126332
188,37418,0.0,200,0,0.25540169999999995,145,55,48,36419,0.00013975023466628045
189,37618,0.0,200,0,0.25142169999999997,156,44,48,36619,0.00012432561197783798
190,37818,0.0,200,0,0.2474417,144,56,44,36819,0.0005168950883671641
191,38018,0.0,200,0,0.2434617,143,57,47,37019,0.0004575194325298071
192,38209,1.0,191,1,0.2396608,151,40,25,37210,0.0004676764365285635
193,38369,1.0,160,1,0.23647679999999993,124,36,23,37370,0.000432564556831494
194,38527,1.0,158,1,0.2333326,127,31,21,37528,0.00014300996554084122
195,38692,1.0,165,1,0.2300491,122,43,28,37693,0.00214899773709476
196,38854,1.0,162,1,0.2268253,117,45,21,37855,0.00018652633298188448
197,39039,1.0,185,1,0.2231438,150,35,40,38040,0.0026249384973198175
198,39210,1.0,171,1,0.21974090000000002,135,36,31,38211,0.0006286576390266418
199,39365,1.0,155,1,0.21665639999999997,124,31,30,38366,0.00042938796104863286
200,39523,1.0,158,1,0.21351219999999993,125,33,28,38524,0.0007098354981280863
201,39679,1.0,156,1,0.21040779999999992,125,31,34,38680,0.0014760353369638324
202,39830,1.0,151,1,0.20740290000000006,120,31,23,38831,0.0004090240690857172
203,39994,1.0,164,1,0.20413930000000002,136,28,29,38995,0.007492618169635534
204,40168,1.0,174,1,0.20067669999999993,144,30,27,39169,0.0011865809792652726
205,40368,0.0,200,0,0.19669670000000006,156,44,52,39369,0.00045688264071941376
206,40544,1.0,176,1,0.19319429999999993,142,34,34,39545,0.004779683891683817
207,40708,1.0,164,1,0.1899307,139,25,31,39709,0.002872992539778352
208,40876,1.0,168,1,0.18658750000000002,140,28,29,39877,0.0026078023947775364
209,41076,0.0,200,0,0.18260750000000003,157,43,34,40077,0.0028017766308039427
210,41276,0.0,200,0,0.17862749999999994,169,31,48,40277,0.005059835035353899
211,41433,1.0,157,1,0.17550319999999997,126,31,12,40434,0.0057415226474404335
212,41590,1.0,157,1,0.1723789,124,33,12,40591,0.003566649742424488
213,41748,1.0,158,1,0.16923469999999996,136,22,22,40749,0.006589035503566265
214,41948,0.0,200,0,0.16525469999999998,169,31,67,40949,0.008333883248269558
215,42148,0.0,200,0,0.1612747,169,31,53,41149,0.01228373497724533
216,42348,0.0,200,0,0.1572947,170,30,58,41349,0.007955387234687805
217,42501,1.0,153,1,0.15425,130,23,25,41502,0.003420233493670821
218,42657,1.0,156,1,0.1511456,134,22,18,41658,0.04968530312180519
219,42810,1.0,153,1,0.14810089999999998,124,29,16,41811,0.0054473369382321835
220,42965,1.0,155,1,0.14501639999999993,136,19,17,41966,0.019315872341394424
221,43115,1.0,150,1,0.14203139999999992,128,22,20,42116,0.023986127227544785
222,43265,1.0,150,1,0.1390463999999999,129,21,17,42266,0.008638872765004635
223,43424,1.0,159,1,0.1358823,134,25,20,42425,0.04769311845302582
224,43513,1.0,89,1,0.13411119999999999,78,11,0,42514,0.036600615829229355
225,43665,1.0,152,1,0.13108640000000005,131,21,19,42666,0.006939799524843693
226,43811,1.0,146,1,0.128181,126,20,19,42812,0.03673020005226135
227,43960,1.0,149,1,0.12521590000000005,131,18,15,42961,0.007604809943586588
228,44110,1.0,150,1,0.12223090000000003,129,21,25,43111,0.009556491859257221
229,44261,1.0,151,1,0.11922600000000005,138,13,18,43262,2.0264501571655273
230,44411,1.0,150,1,0.11624100000000004,128,22,14,43412,0.052052006125450134
231,44557,1.0,146,1,0.11333559999999998,135,11,18,43558,0.058277253061532974
232,44710,1.0,153,1,0.11029090000000008,132,21,21,43711,0.05171002075076103
233,44861,1.0,151,1,0.10728599999999999,132,19,12,43862,0.020913098007440567
234,45013,1.0,152,1,0.10426119999999994,130,22,15,44014,0.16910049319267273
235,45160,1.0,147,1,0.10133590000000003,129,18,21,44161,0.03362292796373367
236,45303,1.0,143,1,0.09849020000000008,124,19,18,44304,0.05877755582332611
237,45448,1.0,145,1,0.09560469999999999,128,17,20,44449,0.010430256836116314
238,45597,1.0,149,1,0.09263960000000004,129,20,22,44598,0.02459861896932125
239,45688,1.0,91,1,0.09082869999999998,86,5,2,44689,3.247842311859131
240,45837,1.0,149,1,0.08786360000000004,137,12,16,44838,0.11325302720069885
241,45977,1.0,140,1,0.08507759999999998,131,9,19,44978,0.022340988740324974
242,46122,1.0,145,1,0.08219209999999999,132,13,18,45123,0.2663756310939789
243,46211,1.0,89,1,0.08042099999999996,85,4,5,45212,0.03292287513613701
244,46344,1.0,133,1,0.07777429999999996,121,12,14,45345,0.10430905967950821
245,46485,1.0,141,1,0.07496840000000005,131,10,18,45486,0.08968059718608856
246,46624,1.0,139,1,0.07220230000000005,122,17,12,45625,0.03513120487332344
247,46766,1.0,142,1,0.06937649999999995,131,11,18,45767,0.07745561748743057
248,46905,1.0,139,1,0.06661039999999996,131,8,18,45906,4.336465835571289
249,47042,1.0,137,1,0.0638841,133,4,20,46043,0.3490743041038513
250,47208,1.0,166,1,0.06058070000000004,160,6,22,46209,0.20916201174259186
251,47316,1.0,108,1,0.05843149999999997,101,7,1,46317,0.14911103248596191
252,47406,1.0,90,1,0.05664049999999998,85,5,6,46407,0.3379422426223755
253,47538,1.0,132,1,0.05401369999999994,128,4,17,46539,0.04731623828411102
254,47676,1.0,138,1,0.05126750000000002,135,3,19,46677,0.09406252205371857
255,47832,1.0,156,1,0.048163100000000014,145,11,28,46833,0.1472838819026947
256,47938,1.0,106,1,0.046053699999999975,103,3,18,46939,0.2556068003177643
257,48047,1.0,109,1,0.04388460000000005,106,3,0,47048,4.5336689949035645
258,48201,1.0,154,1,0.04082000000000008,144,10,23,47202,0.12174561619758606
259,48296,1.0,95,1,0.03892950000000006,89,6,9,47297,0.06397409737110138
260,48445,1.0,149,1,0.03596440000000001,142,7,24,47446,0.3102397322654724
261,48551,1.0,106,1,0.03385500000000008,105,1,1,47552,7.53314208984375
262,48714,1.0,163,1,0.030611300000000008,154,9,30,47715,0.454815149307251
263,48824,1.0,110,1,0.02842230000000001,103,7,1,47825,0.37474524974823
264,48974,1.0,150,1,0.025437299999999996,149,1,20,47975,0.4679834246635437
265,49082,1.0,108,1,0.023288099999999923,105,3,0,48083,0.27001750469207764
266,49238,1.0,156,1,0.020183700000000027,153,3,26,48239,0.43168094754219055
267,49345,1.0,107,1,0.018054400000000026,107,0,1,48346,0.2882886230945587
268,49448,1.0,103,1,0.016004699999999983,102,1,1,48449,0.6591915488243103
269,49555,1.0,107,1,0.013875400000000093,107,0,1,48556,0.3413090407848358
270,49639,1.0,84,1,0.012203799999999987,83,1,0,48640,0.5225335359573364
271,49794,1.0,155,1,0.009119300000000052,152,3,26,48795,0.3267839252948761
272,49939,1.0,145,1,0.006233800000000067,143,2,19,48940,1.4283753633499146
273,50023,1.0,84,1,0.0050000000000000044,84,0,0,49024,0.2986796200275421
274,50112,1.0,89,1,0.0050000000000000044,89,0,0,49113,0.7775649428367615
275,50196,1.0,84,1,0.0050000000000000044,83,1,0,49197,12.794840812683105
276,50350,1.0,154,1,0.0050000000000000044,152,2,25,49351,0.7719372510910034
277,50495,1.0,145,1,0.0050000000000000044,144,1,14,49496,0.7846406102180481
278,50638,1.0,143,1,0.0050000000000000044,142,1,16,49639,0.44872865080833435
279,50738,1.0,100,1,0.0050000000000000044,99,1,7,49739,0.5458478927612305
280,50881,1.0,143,1,0.0050000000000000044,142,1,10,49882,0.9042119383811951
281,51023,1.0,142,1,0.0050000000000000044,141,1,13,50024,1.2741705179214478
282,51163,1.0,140,1,0.0050000000000000044,139,1,15,50164,15.42776107788086
283,51304,1.0,141,1,0.0050000000000000044,140,1,13,50305,1.2529453039169312
284,51445,1.0,141,1,0.0050000000000000044,140,1,11,50446,0.48911938071250916
285,51587,1.0,142,1,0.0050000000000000044,142,0,11,50588,1.0082226991653442
286,51678,1.0,91,1,0.0050000000000000044,91,0,0,50679,0.7592060565948486
287,51818,1.0,140,1,0.0050000000000000044,139,1,15,50819,1.13819420337677
288,51905,1.0,87,1,0.0050000000000000044,87,0,0,50906,21.33660888671875
289,52007,1.0,102,1,0.0050000000000000044,102,0,6,51008,1.8441568613052368
290,52116,1.0,109,1,0.0050000000000000044,108,1,10,51117,1.0807387828826904
291,52257,1.0,141,1,0.0050000000000000044,141,0,11,51258,1.2533376216888428
292,52407,1.0,150,1,0.0050000000000000044,149,1,9,51408,2.3715789318084717
293,52496,1.0,89,1,0.0050000000000000044,88,1,0,51497,1.3647319078445435
294,52639,1.0,143,1,0.0050000000000000044,143,0,14,51640,1.6132780313491821
295,52727,1.0,88,1,0.0050000000000000044,88,0,0,51728,1.277063012123108
296,52825,1.0,98,1,0.0050000000000000044,96,2,2,51826,1.9115163087844849
297,52978,1.0,153,1,0.0050000000000000044,152,1,29,51979,2.2409281730651855
298,53125,1.0,147,1,0.0050000000000000044,146,1,17,52126,3.3850440979003906
299,53270,1.0,145,1,0.0050000000000000044,145,0,16,52271,30.833248138427734
300,53370,1.0,100,1,0.0050000000000000044,99,1,4,52371,3.608259439468384
301,53512,1.0,142,1,0.0050000000000000044,140,2,14,52513,2.174219846725464
302,53653,1.0,141,1,0.0050000000000000044,141,0,11,52654,2.049076795578003
303,53804,1.0,151,1,0.0050000000000000044,151,0,30,52805,3.6714882850646973
304,53946,1.0,142,1,0.0050000000000000044,140,2,10,52947,2.997997760772705
305,54089,1.0,143,1,0.0050000000000000044,142,1,9,53090,2.127509832382202
306,54181,1.0,92,1,0.0050000000000000044,90,2,0,53182,1.229201078414917
307,54290,1.0,109,1,0.0050000000000000044,109,0,0,53291,2.071692943572998
308,54433,1.0,143,1,0.0050000000000000044,143,0,14,53434,5.661810874938965
309,54525,1.0,92,1,0.0050000000000000044,90,2,0,53526,24.230449676513672
310,54665,1.0,140,1,0.0050000000000000044,140,0,10,53666,2.4207966327667236
311,54804,1.0,139,1,0.0050000000000000044,139,0,11,53805,45.72572326660156
312,54896,1.0,92,1,0.0050000000000000044,91,1,0,53897,3.0819127559661865
313,55006,1.0,110,1,0.0050000000000000044,107,3,0,54007,3.4373207092285156
314,55091,1.0,85,1,0.0050000000000000044,85,0,1,54092,2.6252126693725586
315,55201,1.0,110,1,0.0050000000000000044,109,1,0,54202,7.254981994628906
316,55288,1.0,87,1,0.0050000000000000044,87,0,0,54289,2.445626735687256
317,55373,1.0,85,1,0.0050000000000000044,85,0,0,54374,48.91402053833008
318,55459,1.0,86,1,0.0050000000000000044,85,1,0,54460,2.9274940490722656
319,55568,1.0,109,1,0.0050000000000000044,107,2,0,54569,4.316448211669922
320,55708,1.0,140,1,0.0050000000000000044,139,1,10,54709,6.008805274963379
321,55854,1.0,146,1,0.0050000000000000044,146,0,16,54855,4.787145614624023
322,55995,1.0,141,1,0.0050000000000000044,140,1,10,54996,10.546280860900879
323,56138,1.0,143,1,0.0050000000000000044,143,0,14,55139,5.106967449188232
324,56223,1.0,85,1,0.0050000000000000044,85,0,1,55224,5.974890232086182
325,56362,1.0,139,1,0.0050000000000000044,139,0,12,55363,4.9785871505737305
326,56501,1.0,139,1,0.0050000000000000044,138,1,8,55502,66.96773529052734
327,56639,1.0,138,1,0.0050000000000000044,138,0,7,55640,6.7542829513549805
