episode,env_step,return,length,success,epsilon,greedy_actions,exploratory_actions,condition_triggers,gradient_steps_so_far,latest_loss
122,24400,-200.0,200,0,0.5144599,98,102,0,23401,0.0001915841130539775
123,24600,-200.0,200,0,0.5104799,95,105,0,23601,1.0495394235476851e-05
124,24800,-200.0,200,0,0.5064999,94,106,0,23801,1.846485974965617e-05
125,25000,-200.0,200,0,0.5025199,85,115,0,24001,1.6667041563778184e-05
126,25200,-200.0,200,0,0.49853990000000004,98,102,0,24201,2.1045190806034952e-05
127,25400,-200.0,200,0,0.49455990000000005,96,104,0,24401,4.663824802264571e-05
128,25600,-200.0,200,0,0.49057989999999996,101,99,0,24601,8.015304047148675e-06
129,25800,-200.0,200,0,0.4865999,104,96,0,24801,3.8743157347198576e-05
130,26000,-200.0,200,0,0.4826199,102,98,0,25001,3.840602585114539e-05
131,26200,-200.0,200,0,0.4786399,117,83,0,25201,6.92414096192806e-06
132,26400,-200.0,200,0,0.4746599,105,95,0,25401,2.0465513443923555e-05
133,26600,-200.0,200,0,0.47067990000000004,104,96,0,25601,9.999058966059238e-05
134,26800,-200.0,200,0,0.46669989999999995,111,89,0,25801,5.768779828940751e-06
135,27000,-200.0,200,0,0.46271989999999996,100,100,0,26001,9.528659575153142e-06
136,27200,-200.0,200,0,0.4587399,111,89,0,26201,2.577665691205766e-05
137,27400,-200.0,200,0,0.4547599,97,103,0,26401,1.673998121987097e-05
138,27600,-200.0,200,0,0.4507799,109,91,0,26601,2.104232771671377e-05
139,27800,-200.0,200,0,0.4467999,106,94,0,26801,3.2359937904402614e-05
140,28000,-200.0,200,0,0.44281989999999993,118,82,0,27001,8.216749847633764e-06
141,28194,-194.0,194,1,0.43895929999999994,111,83,0,27195,0.00010629532334860414
142,28394,-200.0,200,0,0.43497929999999996,107,93,0,27395,2.7261330615147017e-05
143,28594,-200.0,200,0,0.4309993,132,68,0,27595,3.26973240589723e-05
144,28794,-200.0,200,0,0.4270193,104,96,0,27795,1.4819142961641774e-05
145,28994,-200.0,200,0,0.4230393,112,88,0,27995,8.094837539829314e-06
146,29194,-200.0,200,0,0.4190592999999999,107,93,0,28195,8.319511834997684e-05
147,29394,-200.0,200,0,0.41507929999999993,109,91,0,28395,2.107050022459589e-05
148,29594,-200.0,200,0,0.41109929999999995,127,73,0,28595,2.4187815142795444e-05
149,29794,-200.0,200,0,0.4071193000000001,121,79,0,28795,2.80145959550282e-05
150,29994,-200.0,200,0,0.4031393000000001,115,85,0,28995,9.593517461325973e-05
151,30194,-200.0,200,0,0.3991593,130,70,0,29195,1.5943858670652844e-05
152,30394,-200.0,200,0,0.3951793,119,81,0,29395,2.6145730771531817e-06
153,30594,-200.0,200,0,0.3911993,120,80,0,29595,2.7605296054389328e-05
154,30794,-200.0,200,0,0.38721930000000004,111,89,0,29795,1.9804658222710714e-05
155,30994,-200.0,200,0,0.38323930000000006,114,86,0,29995,4.203617208986543e-06
156,31194,-200.0,200,0,0.3792593000000001,129,71,0,30195,6.145737643237226e-06
157,31394,-200.0,200,0,0.3752793,126,74,0,30395,2.6857969714910723e-05
158,31594,-200.0,200,0,0.3712993,128,72,0,30595,3.445445327088237e-05
159,31794,-200.0,200,0,0.3673193,124,76,0,30795,2.639665581227746e-05
160,31994,-200.0,200,0,0.36333930000000003,131,69,0,30995,3.7275799513736274e-06
161,32194,-200.0,200,0,0.35935930000000005,128,72,0,31195,2.1765677956864238e-05
162,32394,-200.0,200,0,0.35537930000000006,127,73,0,31395,1.992787656490691e-05
163,32594,-200.0,200,0,0.35139929999999997,129,71,0,31595,2.9992166673764586e-05
164,32794,-200.0,200,0,0.3474193,129,71,0,31795,5.172108649276197e-05
165,32994,-200.0,200,0,0.3434393,133,67,0,31995,8.454038834315725e-06
166,33194,-200.0,200,0,0.3394593,135,65,0,32195,3.8125152059365064e-05
167,33394,-200.0,200,0,0.33547930000000004,134,66,0,32395,8.616028935648501e-05
168,33594,-200.0,200,0,0.33149929999999994,128,72,0,32595,0.00011983486911049113
169,33794,-200.0,200,0,0.32751929999999996,116,84,0,32795,1.762941428751219e-05
170,33994,-200.0,200,0,0.3235393,145,55,0,32995,3.650946746347472e-05
171,34194,-200.0,200,0,0.3195593,131,69,0,33195,2.5293284124927595e-05
172,34394,-200.0,200,0,0.3155793,139,61,0,33395,5.177073035156354e-05
173,34594,-200.0,200,0,0.3115993,137,63,0,33595,5.472000793815823e-06
174,34755,-161.0,161,1,0.3083954,112,49,0,33756,2.046428926405497e-05
175,34955,-200.0,200,0,0.3044154,137,63,0,33956,3.867780469590798e-05
176,35123,-168.0,168,1,0.3010722,110,58,0,34124,0.00010972778545692563
177,35323,-200.0,200,0,0.29709220000000003,136,64,0,34324,6.024023605277762e-05
178,35523,-200.0,200,0,0.29311220000000004,153,47,0,34524,0.00035865159588865936
179,35723,-200.0,200,0,0.28913220000000006,145,55,0,34724,6.781914999010041e-05
180,35923,-200.0,200,0,0.2851522000000001,137,63,0,34924,2.54625738307368e-05
181,36123,-200.0,200,0,0.2811722,137,63,0,35124,5.90108975302428e-05
182,36323,-200.0,200,0,0.2771922,141,59,0,35324,2.9206355975475162e-05
183,36523,-200.0,200,0,0.2732122,142,58,0,35524,8.622945460956544e-05
184,36723,-200.0,200,0,0.26923220000000003,151,49,0,35724,5.1596915000118315e-05
185,36923,-200.0,200,0,0.26525220000000005,142,58,0,35924,3.83185688406229e-05
186,37123,-200.0,200,0,0.26127220000000007,154,46,0,36124,0.001067768200300634
187,37323,-200.0,200,0,0.25729219999999997,148,52,0,36324,0.0009262279490940273
188,37523,-200.0,200,0,0.2533122,153,47,0,36524,1.14613676071167
189,37723,-200.0,200,0,0.2493322,143,57,0,36724,0.00029384245863184333
190,37923,-200.0,200,0,0.24535220000000002,155,45,0,36924,8.790245919954032e-05
191,38123,-200.0,200,0,0.24137220000000004,149,51,0,37124,0.00042053236393257976
192,38323,-200.0,200,0,0.23739219999999994,158,42,0,37324,9.365203732158989e-05
193,38523,-200.0,200,0,0.23341219999999996,152,48,0,37524,0.00025404946063645184
194,38723,-200.0,200,0,0.22943219999999998,159,41,0,37724,0.00016815577691886574
195,38923,-200.0,200,0,0.2254522,151,49,0,37924,0.0004901108331978321
196,39123,-200.0,200,0,0.2214722,159,41,0,38124,7.734943937975913e-05
197,39323,-200.0,200,0,0.21749220000000002,153,47,0,38324,0.00010608794400468469
198,39523,-200.0,200,0,0.21351219999999993,151,49,0,38524,0.0015173382125794888
199,39723,-200.0,200,0,0.20953219999999995,152,48,0,38724,0.0002315334277227521
200,39923,-200.0,200,0,0.20555219999999996,157,43,0,38924,4.760894080391154e-05
201,40123,-200.0,200,0,0.20157219999999998,164,36,0,39124,0.0007608961313962936
202,40323,-200.0,200,0,0.1975922,148,52,0,39324,0.00035241665318608284
203,40523,-200.0,200,0,0.1936121999999999,160,40,0,39524,0.0004321746528148651
204,40723,-200.0,200,0,0.18963219999999992,166,34,0,39724,0.0009806365706026554
205,40923,-200.0,200,0,0.18565220000000004,163,37,0,39924,0.0008836198830977082
206,41123,-200.0,200,0,0.18167220000000006,167,33,0,40124,0.000302098342217505
207,41323,-200.0,200,0,0.17769220000000008,160,40,0,40324,0.00024972594110295177
